SOA	 Interactions	 Placements	 Progress
SOA1	 Place	 Left	 0
SOA2	 Place	 Right	 0
SOA2	 Pour	 Left	 0
SOA2	 Pour	 Right	 0
SOA2	 Pour	 Left	 0
SOA1	 Place	 Left	 0
SOA1	 Place	 Right	 0
SOA3	 Pour	 Right	 0
SOA4	 Pour	 Right	 0
SOA2	 Place	 Right	 0
SOA2	 Pour	 Right	 0
SOA3	 Place	 Right	 0
SOA3	 Place	 Left	 0
SOA1	 Pour	 Left	 0
SOA1	 Place	 Right	 0
SOA3	 Place	 Right	 0
SOA3	 Pour	 Right	 0
SOA1	 Place	 Left	 0
SOA4	 Pour	 Left	 0
SOA2	 Place	 Right	 0
SOA3	 Place	 Left	 0
SOA4	 Pour	 Right	 0
SOA1	 Place	 Left	 0
SOA4	 Place	 Right	 0
SOA3	 Place	 Left	 0
SOA1	 Pour	 Right	 0
SOA4	 Pour	 Right	 0
SOA2	 Pour	 Left	 0
SOA1	 Place	 Left	 0
SOA2	 Pour	 Right	 0
SOA1	 Place	 Left	 0
SOA2	 Place	 Left	 0
SOA3	 Place	 Left	 0
SOA2	 Place	 Right	 0
SOA1	 Place	 Right	 0
SOA1	 Pour	 Right	 0
SOA1	 Pour	 Right	 0
SOA1	 Pour	 Left	 0
SOA3	 Pour	 Left	 0
SOA2	 Pour	 Left	 0
SOA4	 Place	 Left	 0
SOA2	 Place	 Left	 0
SOA2	 Place	 Right	 0
SOA1	 Pour	 Left	 0
SOA3	 Pour	 Left	 0
SOA1	 Place	 Right	 0
SOA3	 Pour	 Left	 0
SOA4	 Pour	 Left	 0
SOA2	 Pour	 Right	 0
SOA3	 Pour	 Right	 0
SOA1	 Pour	 Right	 0
SOA1	 Pour	 Right	 0
SOA2	 Pour	 Left	 0
SOA2	 Pour	 Left	 0
SOA1	 Pour	 Left	 0
SOA2	 Pour	 Right	 0
SOA2	 Pour	 Left	 0
SOA2	 Pour	 Left	 0
SOA4	 Place	 Left	 0
SOA4	 Place	 Right	 0
SOA4	 Place	 Left	 0
SOA2	 Place	 Right	 0
SOA4	 Place	 Left	 0
SOA4	 Place	 Left	 0
SOA3	 Pour	 Right	 0
SOA3	 Place	 Right	 0
SOA2	 Place	 Right	 0
SOA3	 Pour	 Right	 0
SOA3	 Place	 Right	 0
SOA2	 Place	 Left	 0
SOA4	 Place	 Left	 0
SOA3	 Pour	 Right	 0
SOA3	 Pour	 Left	 0
SOA4	 Pour	 Left	 0
SOA1	 Place	 Right	 0
SOA3	 Place	 Left	 0
SOA2	 Pour	 Left	 0
SOA3	 Pour	 Left	 0
SOA3	 Place	 Left	 0
SOA2	 Place	 Left	 0
SOA4	 Pour	 Left	 0
SOA4	 Place	 Right	 0
SOA2	 Pour	 Left	 0
SOA3	 Pour	 Left	 0
SOA2	 Place	 Right	 0
SOA3	 Pour	 Left	 0
SOA2	 Place	 Left	 0
SOA2	 Place	 Right	 0
SOA1	 Pour	 Right	 0
SOA4	 Place	 Right	 0
SOA1	 Place	 Left	 0
SOA4	 Pour	 Left	 0
SOA2	 Place	 Left	 0
SOA3	 Pour	 Right	 0
SOA3	 Pour	 Left	 0
SOA2	 Place	 Right	 0
SOA4	 Pour	 Right	 0
SOA4	 Pour	 Right	 0
SOA1	 Pour	 Left	 0
SOA3	 Place	 Left	 0
SOA2	 Place	 Right	 0
SOA4	 Place	 Right	 0
SOA3	 Pour	 Left	 0
SOA3	 Place	 Left	 0
SOA2	 Place	 Left	 0
SOA4	 Pour	 Left	 0
SOA1	 Pour	 Right	 0
SOA3	 Place	 Right	 0
SOA4	 Pour	 Right	 0
SOA2	 Pour	 Left	 0
SOA3	 Pour	 Right	 0
SOA1	 Place	 Left	 0
SOA4	 Pour	 Left	 0
SOA1	 Place	 Right	 0
SOA3	 Pour	 Left	 0
SOA4	 Place	 Left	 0
SOA3	 Place	 Right	 0
SOA2	 Pour	 Right	 0
SOA1	 Pour	 Left	 0
SOA1	 Pour	 Right	 0
SOA4	 Pour	 Left	 0
SOA4	 Place	 Left	 0
SOA1	 Place	 Right	 0
SOA2	 Pour	 Right	 0
SOA1	 Place	 Left	 0
SOA1	 Pour	 Left	 0
SOA1	 Place	 Left	 0
SOA4	 Place	 Right	 0
SOA2	 Place	 Left	 0
SOA2	 Pour	 Right	 0
SOA3	 Pour	 Right	 0
SOA2	 Place	 Left	 0
SOA3	 Place	 Right	 0
SOA1	 Place	 Right	 0
SOA1	 Pour	 Left	 0
SOA2	 Pour	 Left	 0
SOA4	 Place	 Left	 0
SOA1	 Pour	 Left	 0
SOA3	 Place	 Left	 0
SOA2	 Pour	 Left	 0
SOA4	 Place	 Right	 0
SOA4	 Place	 Right	 0
SOA1	 Place	 Right	 0
SOA2	 Pour	 Right	 0
SOA4	 Place	 Left	 0
SOA1	 Place	 Right	 0
SOA4	 Pour	 Left	 0
SOA3	 Place	 Right	 0
SOA4	 Pour	 Right	 0
SOA4	 Pour	 Right	 0
SOA3	 Pour	 Right	 0
SOA2	 Pour	 Right	 0
